name,price,cuisine,reviews,Location url,location,no. of reviews,City
KFC,?100 for one,Burger,4.2,https://www.zomato.com/jalandhar/kfc-shastri-nagar/order,Shastri Nagar,"2,531",Jalandhar
KFC,?100 for one,Fast Food,4.2,https://www.zomato.com/jalandhar/kfc-shastri-nagar/order,Shastri Nagar,"2,531",Jalandhar
KFC,?100 for one,Beverages,4.2,https://www.zomato.com/jalandhar/kfc-shastri-nagar/order,Shastri Nagar,"2,531",Jalandhar
KFC,?100 for one,Desserts,4.2,https://www.zomato.com/jalandhar/kfc-shastri-nagar/order,Shastri Nagar,"2,531",Jalandhar
Anmol Crispy Crispy,?100 for one,North Indian,4.3,https://www.zomato.com/jalandhar/anmol-crispy-crispy-2-adarsh-nagar/order,Adarsh Nagar,747,Jalandhar
Anmol Crispy Crispy,?100 for one,Street Food,4.3,https://www.zomato.com/jalandhar/anmol-crispy-crispy-2-adarsh-nagar/order,Adarsh Nagar,747,Jalandhar
Super Cremica Sweets,?100 for one,Desserts,4.4,https://www.zomato.com/jalandhar/super-cremica-sweets-adarsh-nagar/order,Adarsh Nagar,"1,311",Jalandhar
Super Cremica Sweets,?100 for one,Ice Cream,4.4,https://www.zomato.com/jalandhar/super-cremica-sweets-adarsh-nagar/order,Adarsh Nagar,"1,311",Jalandhar
Super Cremica Sweets,?100 for one,Beverages,4.4,https://www.zomato.com/jalandhar/super-cremica-sweets-adarsh-nagar/order,Adarsh Nagar,"1,311",Jalandhar
Oberoi Special,?100 for one,Street Food,4.2,https://www.zomato.com/jalandhar/oberoi-special-shastri-nagar/order,Shastri Nagar,800,Jalandhar
Subway,?100 for one,Healthy Food,4.1,https://www.zomato.com/jalandhar/subway-nakodar-road/order,Nakodar Road,"4,925",Jalandhar
Subway,?100 for one,Sandwich,4.1,https://www.zomato.com/jalandhar/subway-nakodar-road/order,Nakodar Road,"4,925",Jalandhar
Subway,?100 for one,Salad,4.1,https://www.zomato.com/jalandhar/subway-nakodar-road/order,Nakodar Road,"4,925",Jalandhar
Subway,?100 for one,Fast Food,4.1,https://www.zomato.com/jalandhar/subway-nakodar-road/order,Nakodar Road,"4,925",Jalandhar
Subway,?100 for one,Wraps,4.1,https://www.zomato.com/jalandhar/subway-nakodar-road/order,Nakodar Road,"4,925",Jalandhar
Subway,?100 for one,Beverages,4.1,https://www.zomato.com/jalandhar/subway-nakodar-road/order,Nakodar Road,"4,925",Jalandhar
ARK Vaishno Dhaba,?100 for one,North Indian,4.1,https://www.zomato.com/jalandhar/ark-vaishno-dhaba-maqsudan/order,Maqsudan,"6,741",Jalandhar
